AAROH 26 OFF STAGE EVENTS LIST
SL NO 	EVENTS
1. 	PAINTING (WATER COLOUR
2. 	PAINTING (OIL COLOUR)
3. 	PENCIL DRAWING
4. 	CARTOON DRAWING
5. 	CLAY MODELING
6. 	COLLAGE
7. 	EMBROIDERY
8. 	FACE PAINTING
9. 	RANGOLI
10. 	DEBATE (ENGLISH)
11. 	QUIZ COMPETITION
12. 	EXTEMPORE MALAYALAM
13. 	EXTEMPORE ENGLISH
14. 	EXTEMPORE HINDI
15. 	EXTEMPORE ARABIC
16. 	EXTEMPORE SANSKRIT
17. 	STORY WRITING MALAYALAM
18. 	STORY WRITING ENGLISH
19. 	STORY WRITING HINDI
20. 	STORY WRITING ARABIC
21. 	STORY WRITING SANSKRIT

-- 1 of 2 --

22. 	VERSIFICATION MALAYALAM
23. 	VERSIFICATION ENGLISH
24. 	VERSIFICATION HINDI
25. 	VERSIFICATION ARABIC
26. 	VERSIFICATION SANSKRIT
27. 	ESSAY WRITING MALAYALAM
28. 	ESSAY WRITING ENGLISH
29. 	ESSAY WRITING HINDI
30. 	ESSAY WRITING ARABIC
31. 	ESSAY WRITING SANSKRIT
32. 	SPOT PHOTOGRAPHY

-- 2 of 2 --

